license_number,facility_name,legal_entity,address_line1,address_line2,additional_locations,city,state,zip,county,county_code,phone,setting_code,offers_detox,is_licensed,is_certified,license_expiration,license_expired,treatment_capacity,total_capacity,target_population_code,target_population,incidental_medical_services,adolescent_waiver,latitude,longitude
150087AP,SUNRISE RECOVERY,SUNRISE RECOVERY LLC,3145 LEBEC OAKS RD,,,LEBEC,CA,93243,Kern County,15,,RES,true,true,false,2028-06-30,false,6,6,1.1,CO-ED,true,false,34.857366,-118.887586
150088AP,ASCEND BEHAVIORAL HEALTH,"SEQUOIA BEHAVIORAL HEALTH, A PROFESSIONAL PSYCHOLOGY CORPORATION, INC.",15663 AZALEA SPRINGS AVE,,,BAKERSFIELD,CA,93314,Kern County,15,(661) 788-4325,DSS,false,false,true,2028-05-31,false,0,0,1.1,CO-ED,false,false,35.366056,-119.176827
160001AP,NEW PERCEPTIONS NORTH,NEW PERCEPTIONS NORTH LLC,13565 GRANGEVILLE BLVD.,,,HANFORD,CA,93230,Kings County,16,(818) 741-8837,RES,true,true,false,2026-07-31,true,6,6,1.1,CO-ED,true,false,36.342595,-119.701177
160001CP,"NEW PERCEPTIONS NORTH, LLC",NEW PERCEPTIONS NORTH LLC,351 MALL DRIVE,,,HANFORD,CA,93230,Kings County,16,(559) 388-8273,NON,false,false,true,2027-04-30,false,0,0,1.10,CO-ED/YOUTH,false,false,36.327042,-119.668476
160005AN,"CHAMPIONS RECOVERY ALTERNATIVE PROGRAMS, INC.","CHAMPIONS RECOVERY ALTERNATIVE PROGRAMS, INC.",311 NORTH DOUTY STREET,,,HANFORD,CA,93230-3951,Kings County,16,(559) 583-9300,NON,false,false,true,2027-08-31,false,0,0,1.5,YOUTH/ADOLESCENT,false,false,36.328109,-119.645967
160005BN,HANNAH'S HOUSE,"CHAMPIONS RECOVERY ALTERNATIVE PROGRAMS, INC.",222 WEST KEITH STREET,,,HANFORD,CA,93230,Kings County,16,(559) 583-7800,RES,true,true,false,2028-07-31,false,15,20,1.4,WOMEN/CHILDREN,false,false,36.337672,-119.648782
160005CN,SAMUEL'S HOUSE,"CHAMPIONS RECOVERY ALTERNATIVE PROGRAMS, INC.",11517 15TH AVENUE,,,LEMOORE,CA,93245,Kings County,16,(559) 583-7800,RES,true,true,false,2027-02-28,false,20,34,1.2,MEN ONLY,false,false,36.306182,-119.727042
160005GN,CHAMPIONS RECOVERY OUTPATIENT,"CHAMPIONS RECOVERY ALTERNATIVE PROGRAMS, INC.",228 E. KINGS ST.,ROOM E,,AVENAL,CA,93239,Kings County,16,(559) 583-9300,NON,false,false,true,2027-11-30,false,0,0,1.5,YOUTH/ADOLESCENT,false,false,36.002513,-120.135352
160006CN,WESTCARE,"WESTCARE CALIFORNIA, INC.",410 EAST 7TH STREET,"SUITES 5, 7 & 9",,HANFORD,CA,93230,Kings County,16,(559) 584-8100,NON,false,false,true,2028-05-31,false,0,0,1.5,YOUTH/ADOLESCENT,false,false,36.327462,-119.640536
160007AP,RECOVER MEDICAL GROUP P.C.,RECOVER MEDICAL GROUP P.C.,1220 JEPSEN AVENUE,,,CORCORAN,CA,93212,Kings County,16,(858) 208-0121,NON,false,false,true,2027-07-31,false,0,0,1.1,CO-ED,false,false,36.096693,-119.563352
170002BN,CLEARLAKE CLINIC,LAKE COUNTY ALCOHOL AND OTHER DRUG SERVICES,9055 HIGHWAY 53,,,LOWER LAKE,CA,95457,Lake County,17,(707) 994-7090,NON,false,false,true,2026-11-30,false,0,0,1.1,CO-ED,false,false,38.917313,-122.612281
170002CN,LAKE COUNTY DIVISION OF ALCOHOL AND OTHE DRUG SERVICES (LUCERNE CLINIC),LAKE COUNTY ALCOHOL AND OTHER DRUG SERVICES,6302 13TH AVENUE,,,LUCERNE,CA,95458,Lake County,17,(707) 274-9101,NON,false,false,true,2027-08-31,false,0,0,1.1,CO-ED,false,false,39.087746,-122.792711
170011AN,HILLTOP RECOVERY SERVICES,HILLTOP RECOVERY SERVICES,14715 E STATE HIGHWAY 20,,14725 CATHOLIC CHURCH ROAD,CLEARLAKE OAKS,CA,95423,Lake County,17,(707) 998-1800,RES,false,true,true,2027-05-31,false,48,60,1.1,CO-ED,false,false,39.013278,-122.633417
170011DN,HILLTOP RECOVERY INTENSIVE OUTPATIENT PROGRAM,HILLTOP RECOVERY SERVICES,6316 EAST HIGHWAY 20,,,LUCERNE,CA,95458,Lake County,17,(707) 274-5610,NON,false,false,true,2028-05-31,false,0,0,1.1,CO-ED,false,false,39.086041,-122.792107
170014AN,HEALTHY OPPORTUNITIES FOR MOTHERING EXPERIENCES - HOME TULE HOUSE,"REDWOOD COMMUNITY SERVICES, INC.",675 FIRST STREET,,,UPPER LAKE,CA,95485,Lake County,17,(707) 275-8776,RES,false,true,true,2028-02-29,false,8,15,1.4,WOMEN/CHILDREN,false,false,39.164256,-122.903191
170014BN,HEALTHY OPPORTUNITIES FOR MOTHERING EXPERIENCES (HOME),"REDWOOD COMMUNITY SERVICES, INC.",154 S MAIN ST,,,LAKEPORT,CA,95453,Lake County,17,(707) 263-0372,NON,false,false,true,2026-12-31,false,0,0,1.4,WOMEN/CHILDREN,false,false,39.041531,-122.915132
180003AN,LASSEN COUNTY BEHAVIORAL HEALTH,LASSEN COUNTY BEHAVIORAL HEALTH,545 HOSPITAL LANE,,"555 HOSPITAL LANE, 557 HOSPITAL LANE",SUSANVILLE,CA,96130,Lassen County,18,(530) 251-8108,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,40.407509,-120.661966
190002AN,ALCOHOLISM CENTER FOR WOMEN,ALCOHOLISM CENTER FOR WOMEN,1147 SOUTH ALVARADO STREET,,,LOS ANGELES,CA,90006,Los Angeles County,19,(213) 381-8500,NON,false,false,true,2027-02-28,false,0,0,1.1,CO-ED,false,false,34.048962,-118.281637
190002BN,ALCOHOLISM CENTER FOR WOMEN,ALCOHOLISM CENTER FOR WOMEN,1135 SOUTH ALVARADO STREET,,,LOS ANGELES,CA,90006,Los Angeles County,19,(213) 381-8500,RES,true,true,true,2027-02-28,false,32,32,1.3,WOMEN ONLY,true,false,34.049258,-118.281447
190003AP,SAN FERNANDO RECOVERY CENTER,SAN FERNANDO RECOVERY CENTER,732 GRISWOLD AVENUE,,"734, AND 762 GRISWOLD AVENUE",SAN FERNANDO,CA,91340-2105,Los Angeles County,19,(818) 809-8868,RES,true,true,true,2027-12-31,false,42,42,1.2,MEN ONLY,true,false,34.287995,-118.428241
190003BP,SAN FERNANDO RECOVERY CENTER OUTPATIENT,SAN FERNANDO RECOVERY CENTER,1024 N MACLAY AVE,SUITE G & N,,LOS ANGELES,CA,91340,Los Angeles County,19,(747) 500-9405,NON,true,false,true,2028-04-30,false,0,0,1.1,CO-ED,false,false,34.294194,-118.42636
190004AP,"RISE LUXURY REHAB, LLC","RISE LUXURY REHAB, LLC",26901 SEA VISTA DRIVE,,,MALIBU,CA,90265,Los Angeles County,19,(213) 265-4560,RES,true,true,false,2028-11-30,false,6,6,1.1,CO-ED,true,false,34.029887,-118.758184
190005BP,COMFORT RECOVERY TREATMENT CENTERS LLC,COMFORT RECOVERY IOP LLC,30851 AGOURA ROAD,SUITE 102,,AGOURA HILLS,CA,91301,Los Angeles County,19,(818) 579-9687,NON,true,false,true,2027-12-31,false,0,0,1.1,CO-ED,false,false,34.145505,-118.792869
190006AN,BEACON HOUSE,THE BEACON HOUSE ASSOCIATION OF SAN PEDRO,132 W 10 STREET,,101 W 11TH STREET,SAN PEDRO,CA,90731,Los Angeles County,19,(310) 514-4940,RES,true,true,true,2028-03-31,false,28,28,1.2,MEN ONLY,true,false,33.735125,-118.280926
190006HN,THE BEACON HOUSE ASSOCIATION OF SAN PEDRO,THE BEACON HOUSE ASSOCIATION OF SAN PEDRO,103 W 11TH ST,,,SAN PEDRO,CA,90731,Los Angeles County,19,(310) 514-4940,NON,false,false,true,2026-12-31,false,0,0,1.2,MEN ONLY,false,false,33.734177,-118.280734
190006IN,THE BEACON HOUSE ASSOCIATION OF SAN PEDRO,THE BEACON HOUSE ASSOCIATION OF SAN PEDRO,411 W 10TH ST,,,SAN PEDRO,CA,90731,Los Angeles County,19,(310) 514-4940,NON,false,false,true,2026-12-31,false,0,0,1.2,MEN ONLY,false,false,33.735092,-118.286092
190006JN,THE BEACON HOUSE ASSOCIATION OF SAN PEDRO,THE BEACON HOUSE ASSOCIATION OF SAN PEDRO,126 W 10TH ST,,,SAN PEDRO,CA,90731,Los Angeles County,19,(310) 514-4940,NON,false,false,true,2026-12-31,false,0,0,1.2,MEN ONLY,false,false,33.735125,-118.280942
190007AN,BHS HOLLYWOOD RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",6838 WEST SUNSET BOULEVARD,,,HOLLYWOOD,CA,90028,Los Angeles County,19,(323) 461-3161,NON,false,false,true,2027-09-30,false,0,0,1.1,CO-ED,false,false,34.097952,-118.340031
190007CN,WILMINGTON COMMUNITY RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",1318A NORTH AVALON BOULEVARD,,1314B NORTH AVALON BOULEVARD,WILMINGTON,CA,90744,Los Angeles County,19,(310) 549-2710,NON,false,false,true,2027-09-30,false,0,0,1.1,CO-ED,false,false,33.789441,-118.263151
190007FN,PATTERNS,"BEHAVIORAL HEALTH SERVICES, INC.",12917 CERISE AVENUE,,,HAWTHORNE,CA,90250,Los Angeles County,19,(310) 675-4431,RES,true,true,true,2027-09-30,false,35,35,1.4,WOMEN/CHILDREN,true,false,33.914789,-118.332514
190007GN,PACIFICA HOUSE,"BEHAVIORAL HEALTH SERVICES, INC.",2501 WEST EL SEGUNDO BOULEVARD,,,HAWTHORNE,CA,90250,Los Angeles County,19,(323) 754-2816,RES,true,true,true,2027-09-30,false,58,68,1.1,CO-ED,true,false,33.916477,-118.320662
190007HN,SOUTH BAY FAMILY RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",15519 CRENSHAW BOULEVARD,,,GARDENA,CA,90249,Los Angeles County,19,(310) 679-9031,NON,true,false,true,2027-09-30,false,0,0,1.1,CO-ED,false,false,33.88994,-118.326555
190007IN,AMERICAN RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",2180 WEST VALLEY BOULEVARD,FLOOR 200,,POMONA,CA,91768,Los Angeles County,19,(909) 865-2336,DPH,true,false,true,2027-09-30,false,0,0,1.1,CO-ED,false,false,34.061301,-117.790599
190007JN,BHS BOYLE HEIGHTS FAMILY RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",3421 E. OLYMPIC BOULEVARD,,,LOS ANGELES,CA,90023,Los Angeles County,19,(323) 262-1786,NON,false,false,true,2027-09-30,false,0,0,1.1,CO-ED,false,false,34.018809,-118.204263
190007KN,LINCOLN HEIGHTS FAMILY RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",4099 NORTH MISSION ROAD,UNIT A,,LOS ANGELES,CA,90032,Los Angeles County,19,(323) 221-1746,NON,false,false,true,2027-09-30,false,0,0,1.1,CO-ED,false,false,34.076309,-118.194949
190007LN,REDGATE MEMORIAL RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",1775 CHESTNUT AVENUE,,,LONG BEACH,CA,90813,Los Angeles County,19,(562) 599-8444,DPH,true,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,33.789368,-118.19639
190007MN,AMERICAN RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",2180 WEST VALLEY BOULEVARD,"FLOORS 100, 300 & 400",,POMONA,CA,91768,Los Angeles County,19,(909) 865-2336,RES,true,true,true,2027-02-28,false,123,123,1.1,CO-ED,true,false,34.061301,-117.790599
190007ON,AMERICAN RECOVERY CENTER OUTPATIENT PROGRAM,"BEHAVIORAL HEALTH SERVICES, INC.",2180 WEST VALLEY BOULEVARD,,,POMONA,CA,91768,Los Angeles County,19,(310) 679-9126,NON,false,false,true,2027-09-30,false,0,0,1.1,CO-ED,false,false,34.061301,-117.790599
190007QN,JOINT EFFORTS,"BEHAVIORAL HEALTH SERVICES, INC.",590 WEST 8TH STREET,,,SAN PEDRO,CA,90731,Los Angeles County,19,(310) 831-2358,NON,false,false,true,2027-04-30,false,0,0,1.1,CO-ED,false,false,33.736981,-118.289959
190007RN,NATIONAL COUNCIL ON ALCOHOLISM & DRUG DEPENDENCE OF THE SOUTH BAY,"BEHAVIORAL HEALTH SERVICES, INC.",1334 POST AVENUE,,,TORRANCE,CA,90501,Los Angeles County,19,(310) 328-1460,NON,false,false,true,2027-11-30,false,0,0,1.1,CO-ED,false,false,33.835081,-118.317708
190007SN,FLOSSIE LEWIS CENTER,"BEHAVIORIAL HEALTH SERVICES, INC.",341 EAST 6TH STREET,,351 EAST 6TH STREET AND 615 ELM AVENUE,LONG BEACH,CA,90802,Los Angeles County,19,(562) 435-7350,RES,false,true,true,2028-07-31,false,27,33,1.3,WOMEN ONLY,true,false,33.774154,-118.188219
190007VN,LONG BEACH FAMILY RECOVERY CENTER,"BEHAVIORAL HEALTH SERVICES, INC.",514 W. PACIFIC COAST HIGHWAY,,,LONG BEACH,CA,90806-5237,Los Angeles County,19,(562) 432-0713 X4106,NON,false,false,true,2028-07-31,false,0,0,1.1,CO-ED,false,false,33.789825,-118.198518
190007XN,BHS RESPITE & RECOVERY CENTER AT MLK CAMPUS,"BEHAVIORAL HEALTH SERVICES, INC.",12021 S. WILMINGTON AVENUE,"BLDG 18, SUITE 101",,LOS ANGELES,CA,90059,Los Angeles County,19,(424) 454-6001,RES,true,true,true,2026-09-30,false,18,18,1.1,CO-ED,true,false,33.923522,-118.239203
190009AN,THE BISHOP GOODEN HOME,THE GOODEN CENTER,191 NORTH EL MOLINO AVENUE,,,PASADENA,CA,91101,Los Angeles County,19,(626) 356-0078,RES,false,true,false,2028-03-31,false,19,19,1.1,CO-ED,false,false,34.149202,-118.136935
190009BN,THE GOODEN CENTER OUTPATIENT PROGRAM,THE GOODEN CENTER,918 E GREEN STREET,SUITE 200,,PASADENA,CA,91101,Los Angeles County,19,(626) 356-0078,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,34.144519,-118.131464
190010AP,FOCUS ON TODAY,FOCUS ON TODAY,290 EAST VERDUGO AVENUE,SUITE 105,,BURBANK,CA,91502,Los Angeles County,19,(805) 341-2482,NON,false,false,true,2027-12-31,false,0,0,1.1,CO-ED,false,false,34.17976,-118.304561
190011AAN,DRUG AND ALCOHOL COUNSELING SERVICES,"SOUTHERN CALIFORNIA ALCOHOL AND DRUG PROGRAMS, INC.",11500 PARAMOUNT BOULEVARD,,,DOWNEY,CA,90241,Los Angeles County,19,(562) 923-4545,NON,false,false,true,2028-05-31,false,0,0,1.1,CO-ED,false,false,33.940249,-118.139669
190011AFN,POSITIVE STEPS,"SOUTHERN CALIFORNIA ALCOHOL AND DRUG PROGRAMS, INC.",8332 IOWA STREET,,11501 DOLAN AVENUE,DOWNEY,CA,90241,Los Angeles County,19,(562) 923-7894,RES,true,true,true,2028-04-30,false,47,47,1.2,MEN ONLY,true,false,33.937124,-118.133471
190011ON,LA CASITA DE LAS MAMAS OF DOWNEY,"SOUTHERN CALIFORNIA ALCOHOL AND DRUG PROGRAMS, INC.",10603 DOWNEY AVENUE,,"10607, 10615 AND 10621 DOWNEY AVENUE",DOWNEY,CA,90241,Los Angeles County,19,(562) 622-2268,RES,true,true,false,2028-03-31,false,24,32,1.4,WOMEN/CHILDREN,true,false,33.946156,-118.129589
190011VN,ANGEL STEP TOO,"SOUTHERN CALIFORNIA ALCOHOL AND DRUG PROGRAMS, INC.",16314 CORNUTA AVENUE,,"16316, 16316-1/2, 16318, 16318-1/2, 16322, 16322-1/2AND 16322-7/8 CORNUTA AVENUE",BELLFLOWER,CA,90706,Los Angeles County,19,(562) 461-9272,RES,true,true,true,2027-11-30,false,30,35,1.4,WOMEN/CHILDREN,true,false,33.885512,-118.118702
190012BN,CASA TREATMENT CENTER,CASA TREATMENT CENTER,169 N. OAK KNOLL AVENUE,,171 N. OAK KNOLL AVENUE,PASADENA,CA,91101,Los Angeles County,19,(626) 792-2770,NON,false,false,true,2028-06-30,false,0,0,1.8,DUAL DIAGNOSIS,false,false,34.148916,-118.135396
190012CN,CASA TREATMENT CENTER,CASA TREATMENT CENTER,160 NORTH EL MOLINO AVENUE,,173 NORTH OAK KNOLL AVENUE,PASADENA,CA,91101,Los Angeles County,19,(626) 792-2770,RES,false,true,false,2028-03-31,false,22,22,1.3,WOMEN ONLY,false,false,34.148761,-118.136557
190016LN,PICO OUTPATIENT,CLARE | MATRIX,1002 PICO BOULEVARD,,,SANTA MONICA,CA,90405,Los Angeles County,19,(310) 314-6200,NON,false,false,true,2027-05-31,false,0,0,1.1,CO-ED,false,false,34.013334,-118.480851
190016PN,HEALING HAVEN,CLARE | MATRIX,1865 9TH STREET,,"1869 & 1871 9TH STREET& 844, 907 & 909 PICO BLVD., SANTA MONICA, CA 90405",SANTA MONICA,CA,90404,Los Angeles County,19,(310) 314-6200 X3426,RES,true,true,true,2028-07-31,false,104,104,1.1,CO-ED,true,false,34.013486,-118.48187
190022AN,"GRANDVIEW FOUNDATION, INC. - RESIDENTIAL","GRANDVIEW FOUNDATION, INC.",1230 NORTH MARENGO AVENUE,,"225 GRANDVIEW STREET, PASADENA, CA 91103",PASADENA,CA,91104,Los Angeles County,19,(626) 797-1124,RES,true,true,true,2027-03-31,false,33,37,1.2,MEN ONLY,true,false,34.167032,-118.146095
190022GN,GRANDVIEW FOUNDATION,"GRANDVIEW FOUNDATION, INC.",898 NORTH FAIR OAKS,SUITE A,,PASADENA,CA,91103,Los Angeles County,19,(626) 797-1124,NON,false,false,true,2026-09-30,false,0,0,1.2,MEN ONLY,false,false,34.160973,-118.150578
190023AN,HOPE HARBOR CENTER,THE SALVATION ARMY,3107 SOUTH GRAND AVENUE,,,LOS ANGELES,CA,90007,Los Angeles County,19,(213) 744-8186 X202,RES,false,true,false,2028-04-30,false,56,56,1.2,MEN ONLY,false,false,34.022224,-118.275001
190023CN,THE SALVATION ARMY BELL SHELTER--WELLNESS CENTER,THE SALVATION ARMY,5600 RICKENBACKER ROAD,BLDG 2A-B,,BELL,CA,90201,Los Angeles County,19,(323) 263-1206,RES,false,true,true,2027-08-31,false,75,75,1.1,CO-ED,false,false,33.989737,-118.165027
190025AN,HOUSE OF HOPE,"HOUSE OF HOPE FOUNDATION, INC.",221 WEST 9TH STREET,,"223, 225, 227, 229, 235, AND 236 WEST 9TH STREET",SAN PEDRO,CA,90731,Los Angeles County,19,(310) 521-9209,RES,true,true,true,2028-03-31,false,26,26,1.3,WOMEN ONLY,false,false,33.735995,-118.281886
190025GN,"HOUSE OF HOPE FOUNDATION, INC.","HOUSE OF HOPE FOUNDATION, INC.",205 WEST 9TH STREET,,,SAN PEDRO,CA,90731,Los Angeles County,19,(310) 521-9209,NON,false,false,true,2027-07-31,false,0,0,1.3,WOMEN ONLY,false,false,33.735991,-118.281628
190027BN,VOA OF CENTRAL CITY RECOVERY SERVICES,VOLUNTEERS OF AMERICA OF LOS ANGELES,2521 LONG BEACH AVENUE,,,LOS ANGELES,CA,90058,Los Angeles County,19,(562) 399-5452,RES,true,true,true,2028-02-29,false,60,60,1.2,MEN ONLY,false,false,34.013909,-118.243262
190027JN,LA CIENEGA RECOVERY,VOLUNTEERS OF AMERICA OF LOS ANGELES,1765 S LA CIENEGA BLVD.,,,LOS ANGELES,CA,90035,Los Angeles County,19,(310) 204-0690,RES,true,true,true,2028-02-29,false,50,50,1.2,MEN ONLY,true,false,34.045291,-118.376674
190029AN,LITTLE HOUSE,LITTLE HOUSE,9718 HARVARD STREET,,,BELLFLOWER,CA,90706-3699,Los Angeles County,19,(562) 925-2777,RES,false,true,true,2027-09-30,false,28,28,1.3,WOMEN ONLY,false,false,33.8876,-118.12698
190029BN,LITTLE HOUSE OUTPATIENT,LITTLE HOUSE,9928 FLOWER ST.,SUITE 101,,LOS ANGELES,CA,90706,Los Angeles County,19,(562) 925-2777,NON,false,false,true,2026-12-31,false,0,0,1.1,CO-ED,false,false,33.882074,-118.122051
190040AN,PALM HOUSE RECOVERY HOME,"PALM HOUSE, INCORPORATED",2515 EAST JEFFERSON STREET,,,CARSON,CA,90810,Los Angeles County,19,(310) 830-7803,RES,false,true,true,2028-07-31,false,16,16,1.2,MEN ONLY,false,false,33.834007,-118.224339
190042AP,SANCTUARY TREATMENT CENTER,"EXECUTIVE RECOVERY GROUP, LLC",19233 WHITE STONE COURT,,"19241 AND 19249 WHITE STONE COURT AND 19236, 19240 & 19246 CAMMIE LANE",TARZANA,CA,91356,Los Angeles County,19,(917) 374-4215,RES,true,true,true,2028-02-28,false,36,36,1.1,CO-ED,true,false,34.176841,-118.552634
190042CP,THE LAKE IOP,"EXECUTIVE RECOVERY GROUP, LLC",17167 VENTURA BOULEVARD,SUITE 200,,ENCINO,CA,91316,Los Angeles County,19,(805) 302-3651,NON,false,false,true,2027-07-31,false,0,0,1.1,CO-ED,false,false,34.16056,-118.507532
190042DP,ERG 2,"EXECUTIVE RECOVERY GROUP, LLC",15613 VENTURA BLVD,,,ENCINO,CA,91436,Los Angeles County,19,(917) 374-4215,NON,false,false,true,2027-07-31,false,0,0,1.1,CO-ED,false,false,34.155098,-118.474013
190048AP,LVX RECOVERY,"LVX RECOVERY, INC.",23931 JENSEN DRIVE,,,WEST HILLS,CA,91304,Los Angeles County,19,(818) 312-4306,RES,true,true,false,2028-05-31,false,6,6,1.1,CO-ED,true,false,34.223083,-118.648091
190049AN,NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE OF THE SAN FERNANDO VALLEY,NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE OF THE SAN FERNANDO VALLEY,6166 VESPER AVENUE,,,VAN NUYS,CA,91411,Los Angeles County,19,(818) 997-0414,NON,false,false,true,2028-04-30,false,0,0,1.1,CO-ED,false,false,34.182205,-118.450864
190049CN,NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE OF THE SAN FERNANDO VALLEY,NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE OF THE SAN FERNANDO VALLEY,24458 1/4 LYONS AVENUE,,24460 LYONS AVENUE,SANTA CLARITA,CA,91321,Los Angeles County,19,(661) 253-9400,NON,false,false,true,2027-02-28,false,0,0,1.1,CO-ED,false,false,34.378276,-118.561981
190051AP,SAFE HAVEN RECOVERY,"SAFE HAVEN RECOVERY, INC.",1690 COLDWATER CANYON DRIVE,,,BEVERLY HILLS,CA,90210,Los Angeles County,19,(424) 777-2270,RES,true,true,true,2027-09-30,false,6,6,1.1,CO-ED,true,false,34.101658,-118.406118
190053AP,THE MEADOWS MALIBU,"BEHAVIORAL HEALTH SOLUTIONS OF MALIBU, LLC",31213 BAILARD ROAD,,31217 BAILARD ROAD,MALIBU,CA,90265,Los Angeles County,19,(424) 346-8445,RES,true,true,false,2026-08-31,false,12,12,1.1,CO-ED,true,false,34.036594,-118.851674
190056AP,"IRIS HEALING CENTER, LLC","IRIS HEALING CENTER, LLC",20300 VENTURA BOULEVARD,SUITE 300,,WOODLAND HILLS,CA,91364,Los Angeles County,19,(818) 564-4307,NON,false,false,true,2027-12-31,false,0,0,1.8,DUAL DIAGNOSIS,false,false,34.16931,-118.575389
190063AP,ATLAS RECOVERY CENTER,REFLECTION AND RECOVERY INC.,19687 LOS ALIMOS STREET,,,CHATSWORTH,CA,91311-1935,Los Angeles County,19,(323) 829-5556,RES,true,true,false,2028-05-31,false,6,6,1.1,CO-ED,true,false,34.268539,-118.563208
190068AP,CLIFFSIDE MALIBU,CLIFFSIDE MALIBU,7214 BIRDVIEW AVE,,,MALIBU,CA,90265,Los Angeles County,19,(424) 644-1273,RES,true,true,true,2028-06-30,false,6,6,1.1,CO-ED,true,false,34.006599,-118.810255
190071AN,RED DOOR LIFE,EVERGREEN FUND,8484 WILSHIRE BOULEVARD,SUITE 407,,"BEVERLY HILLS,",CA,90211,Los Angeles County,19,(424) 242-2760,NON,false,false,true,2027-06-30,false,0,0,1.1,CO-ED,false,false,34.064943,-118.375334
190073AP,CLIFFSIDE MALIBU II,CLIFFSIDE MALIBU II,5853 BUSCH DRIVE,,,MALIBU,CA,90265,Los Angeles County,19,(424) 781-4723,RES,true,true,true,2028-06-30,false,6,6,1.1,CO-ED,true,false,34.027773,-118.820583
190077AHN,SAFE REFUGE,SAFE REFUGE,3111 EAST 7TH ST.,,"3113, 3115, 3119, 3125, AND 3131 EAST 7TH ST. APTS 1, 3, 4, 5, 6; 719 APTS 1-10, 727 & 729 OBISPO AVE; AND 718, 728, 728A, 728 1/2 FREEMAN AV",LONG BEACH,CA,90804,Los Angeles County,19,(562) 987-5722,RES,false,true,true,2028-10-31,false,89,89,1.1,CO-ED,false,false,33.775362,-118.155359
190077CN,SAFE REFUGE,SAFE REFUGE,3125 E. 7TH STREET,,3137 AND 3139 E. 7TH STREET,LONG BEACH,CA,90804,Los Angeles County,19,(562) 987-5722,NON,false,false,true,2027-05-31,false,0,0,1.1,CO-ED,false,false,33.775361,-118.155062
190077RN,SAFE REFUGE,SAFE REFUGE,1046 REDONDO AVENUE,,,LONG BEACH,CA,90804,Los Angeles County,19,(562) 987-5722,NON,false,false,true,2028-07-31,false,0,0,1.1,CO-ED,false,false,33.779854,-118.152393
190080AP,RECOVERY CORPS HEALTH GROUP,"RECOVERY CORPS HEALTH GROUP, LLC",,,,,,,,19,(562) 346-4835,RES,true,true,false,2028-06-30,false,6,6,1.1,CO-ED,true,false,,
190081AN,THE RIVER COMMUNITY,"SOCIAL MODEL RECOVERY SYSTEMS, INC.",23701 EAST FORK ROAD,,,AZUSA,CA,91702,Los Angeles County,19,(626) 250-3300,RES,false,true,true,2028-03-31,false,38,38,1.8,DUAL DIAGNOSIS,true,false,34.232455,-117.797848
190081BN,RIVER COMMUNITY DAY TREATMENT,"SOCIAL MODEL RECOVERY SYSTEMS, INC.",510 SOUTH SECOND AVENUE,SUITE 6 & 7,,COVINA,CA,91723-3017,Los Angeles County,19,(626) 974-8123,NON,false,false,true,2027-10-31,false,0,0,1.1,CO-ED,false,false,34.080586,-117.887865
190081EN,SOCIAL MODEL RECOVERY SYSTEMS (PCADD),"SOCIAL MODEL RECOVERY SYSTEMS, INC.",44 SOUTH MENTOR AVENUE,SUITE B,,PASADENA,CA,91106,Los Angeles County,19,(626) 773-4364,NON,false,false,true,2026-10-31,false,0,0,1.1,CO-ED,false,false,34.145012,-118.130812
190081FN,OMNI CENTER,"SOCIAL MODEL RECOVERY SYSTEMS, INC.",3426 COGSWELL ROAD,,3430 COGSWELL ROAD,EL MONTE,CA,91732,Los Angeles County,19,(626) 453-3406,RES,true,true,true,2028-02-29,false,38,38,1.2,MEN ONLY,true,false,34.067121,-118.016786
190081GN,MARIPOSA RECOVERY HOME,"SOCIAL MODEL RECOVERY SYSTEMS, INC.",453 SOUTH INDIANA STREET,,,LOS ANGELES,CA,90063,Los Angeles County,19,(323) 266-7726,RES,false,true,true,2026-10-31,false,13,15,1.4,WOMEN/CHILDREN,true,false,34.030629,-118.19237
190081HN,MID VALLEY OUTPATIENT SERVICES,"SOCIAL MODEL RECOVERY SYSTEMS, INC.",11046 MAIN STREET,,,EL MONTE,CA,91731,Los Angeles County,19,(626) 636-2370,NON,false,false,true,2027-03-31,false,0,0,1.10,CO-ED/YOUTH,false,false,34.07307,-118.034266
